Date,South West Pacific,South East Pacific,PNG/Solomon Islands,Vanuatu,New Caledonia,Samoa,Raoul/Curtis,Society Islands,New Zealand
13-Aug-2008,5.13,0,0,0,0,0,0,0.57,0
14-Aug-2008,11.62,0,0.83,1.9,1.72,2.89,1.59,0.43,4.67
15-Aug-2008,12.6,0,0.94,0.57,0.62,1.46,1.27,0.33,6.57
16-Aug-2008,14.85,0,1,1.43,1.54,2.21,1.16,0.31,7.79
17-Aug-2008,13.22,0,0.92,0.75,1.05,0.98,0.25,0.31,11.71
18-Aug-2008,9.24,0,1.64,1.66,1.04,1.46,0.42,0.73,4.82
19-Aug-2008,13.98,0,1.02,1.08,1.03,1.51,0.6,0.86,6
20-Aug-2008,9.99,0,1.25,0.44,0.31,1.07,0.97,0.61,4.49
21-Aug-2008,8.89,0,1.32,0.68,0.41,1.14,0.54,0.61,3.99
22-Aug-2008,10.36,0,1.17,0.48,0.11,1.03,0.62,0.47,4.64
23-Aug-2008,9.55,0,1.35,0.6,0.49,0.79,0.16,0.68,2.91
24-Aug-2008,6.13,0,0.64,0.62,0.36,0.8,0.09,0.59,0.63
26-Aug-2008,9.59,0,1.17,0.66,0.39,0.88,0.2,0.77,2.4
27-Aug-2008,6.67,0,1.46,0.46,0.33,0.83,0.25,0.43,2.59
28-Aug-2008,5.86,0,0.94,0.78,0.56,1.41,0.31,0.29,1.35
29-Aug-2008,7.48,0,0.82,0.43,0.2,0.81,0.13,0.56,2.35
30-Aug-2008,6.85,0,1.19,0.27,0.27,0.73,0.2,0.48,2.22
31-Aug-2008,8.29,0,0.72,0.41,0.25,0.97,0.22,0.34,2.41
01-Sep-2008,8.92,0,1.68,1.16,0.48,1.17,0.26,0.48,1.9
02-Sep-2008,14.81,0,0.88,0.44,0.26,0.42,0.05,0.2,1.89
03-Sep-2008,17.87,0,2.12,0.37,0.2,0.51,0.07,0.55,2.06
04-Sep-2008,12.34,0,1.22,0.5,0.31,0.87,0.06,0.55,1.3
05-Sep-2008,5.61,0,1.21,0.3,0.14,0.52,0.07,0.44,2.02
06-Sep-2008,4.78,0,0.96,0.4,0.42,0.73,0.15,0.36,1.04
07-Sep-2008,5.86,0,1.11,0.1,0.08,0.2,0.04,0.18,0.7
08-Sep-2008,4.62,0,1.16,1.02,1.01,1.09,0.1,0.2,0.6
09-Sep-2008,6.68,0,0.96,1.25,1.14,1.83,0.06,0.32,0.87
10-Sep-2008,5.16,0,2.46,3.42,1.76,1.74,0.69,0.29,1.31
11-Sep-2008,9.04,0,0.97,1.32,1.19,1.36,0.36,0.26,1.52
12-Sep-2008,6.37,0,1.72,0.91,3.16,1.09,0.21,0.42,3.44
13-Sep-2008,15.31,0,3.23,0.78,0.61,1.15,3.06,0.38,5.19
14-Sep-2008,7.8,0,2.4,0.1,0.2,0.43,0.3,0.26,2.77
15-Sep-2008,3.95,0,1.84,1.56,0.53,2.16,0.17,0.14,2.37
16-Sep-2008,3.3,0,2.65,0.41,0.16,0.73,0.06,0.29,0.87
17-Sep-2008,5.43,0,2.36,0.98,0.66,1.63,0.31,0.39,1.36
18-Sep-2008,8,0,3.1,1.34,0.54,1.72,0.25,0.32,1.91
19-Sep-2008,8.86,0,3.11,0.7,0.37,0.98,0.75,0.58,3.37
20-Sep-2008,5.93,0,4,0.55,0.21,0.87,0.11,0.27,1.12
21-Sep-2008,4.95,0,5.09,1.35,0.36,0.83,0.28,0.25,1.71
22-Sep-2008,5.63,0,2.31,1.71,0.92,2.02,0.67,0.31,1.69
23-Sep-2008,11.43,0,1.94,1.51,0.61,1.98,1.31,0.39,2.39
24-Sep-2008,15.97,0,1.66,1.66,1,3.28,0.5,0.46,9.97
25-Sep-2008,6.65,0,3.05,0.66,1.13,1.5,1.7,0.24,3.06
01-Oct-2008,5.93,0,1.7,2.57,1.94,4.5,0.53,0.33,2.29
02-Oct-2008,8.27,0,2.56,0.65,0.29,2.23,0.69,0.35,1.53
03-Oct-2008,11.6,0,2.11,1.02,0.37,2.71,0.44,0.28,1.17
04-Oct-2008,6.37,0,1.51,0.65,0.3,0.98,0.55,0.35,1.79
05-Oct-2008,5.16,0,1.94,0.55,0.45,0.78,0.39,0.8,1.31
06-Oct-2008,3.8,0,1.86,0.76,0.43,1.24,0.45,0.37,0.96
